;Solution;Problem size;;Time;; ListLenght; MaxIter
RANDN;2731,371521;200;Time;528,114577;TSEARCHDynamicTL;200;8000000
RANDN;2683,436832;200;Time;528,668826;TSEARCHDynamicTL;200;8000000
RANDN;2687,812977;200;Time;528,272342;TSEARCHDynamicTL;200;8000000
RANDN;2779,396037;200;Time;525,147262;TSEARCHDynamicTL;200;8000000
RANDN;2703,714805;200;Time;528,337412;TSEARCHDynamicTL;200;8000000
RANDN;2694,110327;200;Time;528,642996;TSEARCHDynamicTL;200;8000000
RANDN;2793,769994;200;Time;531,287989;TSEARCHDynamicTL;200;8000000
RANDN;2665,571786;200;Time;531,130045;TSEARCHDynamicTL;200;8000000
RANDN;2658,749775;200;Time;578,515805;TSEARCHDynamicTL;2000;8000000
RANDN;2750,653149;200;Time;573,976661;TSEARCHDynamicTL;2000;8000000
RANDN;2600,982966;200;Time;577,280417;TSEARCHDynamicTL;2000;8000000
RANDN;2772,310045;200;Time;571,559098;TSEARCHDynamicTL;2000;8000000
RANDN;2806,830094;200;Time;570,836505;TSEARCHDynamicTL;2000;8000000
RANDN;2700,359484;200;Time;580,36041;TSEARCHDynamicTL;2000;8000000
RANDN;2728,491125;200;Time;578,289415;TSEARCHDynamicTL;2000;8000000
RANDN;2889,864853;200;Time;581,934233;TSEARCHDynamicTL;2000;8000000
RANDN;2682,23386;200;Time;575,048264;TSEARCHDynamicTL;2000;8000000
